binName, varBitrate, varBitrateSpatial, varMV, varMVSpatial, varMvdBits, varMvdBitsSpatial
test/1.bin,0.457,1.361,7.247,15.097,0.041,0.045
test/1.bin,0.385,1.177,6.889,13.392,0.037,0.041
test/1.bin,0.330,1.031,6.704,12.256,0.031,0.036
test/1.bin,0.279,0.895,6.600,13.102,0.026,0.031
test/1.bin,0.234,0.779,6.687,14.610,0.022,0.028
test/1.bin,0.200,0.674,6.457,14.229,0.019,0.025
test/1.bin,0.168,0.593,6.542,14.266,0.016,0.023
test/1.bin,0.140,0.510,6.521,15.683,0.013,0.020
test/1.bin,0.120,0.444,6.514,16.312,0.011,0.017
test/1.bin,0.098,0.384,6.244,16.391,0.009,0.015
test/1.bin,16.885,25.185,5.838,6.555,0.315,0.210
test/1.bin,15.047,22.848,5.815,6.606,0.305,0.188
test/1.bin,13.419,20.696,5.762,6.538,0.303,0.169
test/1.bin,12.000,18.804,5.787,6.559,0.296,0.155
test/1.bin,10.583,16.994,5.785,6.582,0.289,0.148
test/1.bin,9.276,15.396,5.727,6.551,0.278,0.139
test/1.bin,8.113,13.873,5.743,6.604,0.271,0.134
test/1.bin,7.080,12.477,5.803,6.715,0.262,0.130
test/1.bin,6.151,11.194,5.815,6.867,0.249,0.124
test/1.bin,5.347,9.984,5.727,6.779,0.236,0.123
test/1.bin,4.602,8.897,5.718,6.775,0.213,0.122
test/1.bin,4.122,7.858,5.819,6.828,0.192,0.121
test/1.bin,3.485,6.993,5.813,6.783,0.175,0.113
test/1.bin,2.986,6.186,5.814,6.723,0.156,0.109
test/1.bin,2.546,5.498,5.863,6.767,0.136,0.101
test/1.bin,2.194,4.839,6.064,6.954,0.118,0.091
test/1.bin,1.859,4.240,6.241,6.938,0.101,0.083
test/1.bin,1.574,3.704,6.461,7.229,0.088,0.074
test/1.bin,1.326,3.261,6.595,7.286,0.077,0.065
test/1.bin,1.116,2.829,7.110,7.761,0.067,0.059
test/1.bin,0.944,2.468,7.027,8.049,0.060,0.054
test/1.bin,0.785,2.131,7.488,8.297,0.053,0.050
test/1.bin,0.673,1.843,7.722,8.612,0.045,0.044
test/1.bin,0.563,1.601,7.738,8.939,0.041,0.041
test/1.bin,0.484,1.373,7.691,8.875,0.034,0.036
test/1.bin,0.399,1.195,7.643,8.993,0.029,0.031
test/1.bin,0.340,1.041,7.342,8.783,0.025,0.029
test/1.bin,0.286,0.901,7.097,8.939,0.022,0.026
test/1.bin,0.244,0.785,6.697,9.107,0.018,0.023
test/1.bin,0.202,0.677,6.527,8.994,0.015,0.021
test/1.bin,0.171,0.581,6.377,9.083,0.013,0.019
test/1.bin,0.142,0.508,6.202,9.342,0.010,0.017
test/1.bin,0.116,0.436,6.333,9.962,0.009,0.014
test/1.bin,16.575,30.728,5.144,7.155,0.362,0.197
test/1.bin,14.781,27.853,5.111,7.204,0.354,0.167
test/1.bin,13.242,25.207,5.014,7.195,0.347,0.141
test/1.bin,11.872,22.764,5.001,7.379,0.337,0.130
test/1.bin,10.518,20.547,5.185,7.642,0.330,0.122
test/1.bin,9.208,18.508,5.221,7.810,0.319,0.116
test/1.bin,8.091,16.636,5.064,7.795,0.307,0.111
test/1.bin,7.074,14.940,5.183,7.918,0.293,0.109
test/1.bin,6.159,13.389,5.067,8.033,0.281,0.105
test/1.bin,5.386,11.978,5.094,8.078,0.266,0.103
test/1.bin,4.611,10.708,5.051,8.183,0.242,0.100
test/1.bin,4.150,9.463,5.084,8.128,0.216,0.102
test/1.bin,3.506,8.451,5.064,8.416,0.195,0.096
test/1.bin,3.020,7.506,5.052,8.522,0.173,0.092
test/1.bin,2.558,6.683,5.204,8.738,0.148,0.084
test/1.bin,2.204,5.893,5.247,8.941,0.130,0.077
test/1.bin,1.857,5.192,5.325,9.126,0.111,0.070
test/1.bin,1.556,4.539,5.513,9.968,0.097,0.062
test/1.bin,1.317,4.009,5.750,10.510,0.083,0.056
test/1.bin,1.109,3.500,5.893,11.022,0.073,0.051
test/1.bin,0.925,3.039,6.201,11.187,0.064,0.044
test/1.bin,0.781,2.642,6.046,11.162,0.056,0.039
test/1.bin,0.665,2.291,6.659,12.156,0.049,0.034
test/1.bin,0.566,1.977,6.278,11.998,0.042,0.031
test/1.bin,0.486,1.727,6.652,12.557,0.036,0.027
test/1.bin,0.411,1.500,6.182,11.529,0.032,0.024
test/1.bin,0.348,1.292,5.747,10.817,0.027,0.022
test/1.bin,0.293,1.130,5.664,11.104,0.024,0.020
test/1.bin,0.251,0.978,5.518,11.107,0.019,0.018
test/1.bin,0.213,0.862,5.596,10.995,0.016,0.016
test/1.bin,0.184,0.741,5.844,11.672,0.013,0.014
test/1.bin,0.156,0.647,5.728,11.488,0.012,0.013
test/1.bin,0.130,0.557,5.669,12.134,0.009,0.011
test/1.bin,11.433,24.188,7.076,13.576,0.217,0.226
test/1.bin,10.171,21.834,7.035,13.452,0.211,0.199
test/1.bin,9.021,19.690,6.923,13.745,0.209,0.179
test/1.bin,8.025,17.702,7.031,14.051,0.205,0.168
test/1.bin,7.063,15.877,6.948,14.515,0.197,0.161
test/1.bin,6.170,14.296,7.116,15.124,0.192,0.153
test/1.bin,5.433,12.784,7.264,15.762,0.186,0.150
test/1.bin,4.736,11.427,7.246,16.487,0.178,0.147
test/1.bin,4.149,10.216,7.151,16.773,0.173,0.142
test/1.bin,3.608,9.091,7.393,17.286,0.167,0.141
test/1.bin,3.097,8.064,7.113,18.738,0.155,0.138
test/1.bin,2.760,7.129,7.491,18.817,0.142,0.135
test/1.bin,2.346,6.327,7.128,19.748,0.131,0.129
test/1.bin,2.025,5.634,7.318,19.703,0.121,0.122
test/1.bin,1.742,4.981,7.098,20.851,0.107,0.112
test/1.bin,1.489,4.412,7.203,20.559,0.094,0.102
test/1.bin,1.274,3.873,7.579,22.212,0.084,0.095
test/1.bin,1.073,3.406,7.771,22.303,0.073,0.085
test/1.bin,0.906,3.014,7.906,22.859,0.064,0.076
test/1.bin,0.781,2.642,8.142,24.427,0.056,0.069
test/1.bin,0.656,2.325,8.631,26.014,0.051,0.063
test/1.bin,0.549,2.041,8.370,27.030,0.045,0.057
test/1.bin,0.477,1.783,8.618,28.795,0.040,0.050
test/1.bin,0.401,1.558,8.627,28.976,0.036,0.045
test/1.bin,0.343,1.377,8.837,26.994,0.032,0.041
test/1.bin,0.289,1.206,9.366,28.551,0.027,0.035
test/1.bin,0.248,1.056,8.814,27.680,0.024,0.032
test/1.bin,0.211,0.923,8.863,27.214,0.021,0.028
test/1.bin,0.178,0.806,7.997,26.715,0.018,0.025
test/1.bin,0.151,0.705,7.941,27.568,0.015,0.022
test/1.bin,0.129,0.607,8.156,26.213,0.013,0.020
test/1.bin,0.109,0.546,8.210,27.323,0.011,0.018
test/1.bin,0.094,0.465,8.781,29.258,0.009,0.016
test/1.bin,17.314,29.597,2.805,9.039,0.341,0.231
test/1.bin,15.633,26.853,2.843,9.069,0.332,0.200
test/1.bin,14.119,24.306,2.798,9.111,0.326,0.172
test/1.bin,12.718,21.960,2.688,9.139,0.315,0.153
test/1.bin,11.378,19.855,2.697,9.208,0.305,0.140
test/1.bin,10.060,17.887,2.689,9.249,0.298,0.131
test/1.bin,8.905,16.132,2.656,9.225,0.287,0.122
test/1.bin,7.832,14.487,2.676,9.389,0.273,0.114
test/1.bin,6.859,12.989,2.695,9.393,0.263,0.111
test/1.bin,6.038,11.624,2.444,9.302,0.252,0.112
test/1.bin,5.239,10.381,2.673,9.169,0.228,0.109
test/1.bin,4.687,9.182,2.488,9.267,0.203,0.109
test/1.bin,3.999,8.186,2.653,9.398,0.183,0.101
test/1.bin,3.462,7.253,2.574,9.293,0.163,0.101
test/1.bin,2.961,6.444,2.614,9.373,0.143,0.091
test/1.bin,2.562,5.659,2.760,9.368,0.121,0.082
test/1.bin,2.170,4.971,2.769,9.284,0.108,0.074
test/1.bin,1.833,4.314,3.103,9.597,0.093,0.068
test/1.bin,1.550,3.762,3.513,9.647,0.081,0.061
test/1.bin,1.312,3.274,3.577,10.022,0.071,0.055
test/1.bin,1.113,2.835,3.624,10.217,0.062,0.048
test/1.bin,0.936,2.432,3.787,10.443,0.056,0.043
test/1.bin,0.799,2.101,4.054,10.407,0.049,0.038
test/1.bin,0.663,1.797,3.792,10.136,0.042,0.033
test/1.bin,0.578,1.556,3.677,10.225,0.037,0.030
test/1.bin,0.490,1.346,4.299,10.696,0.033,0.027
test/1.bin,0.410,1.166,3.732,10.719,0.028,0.025
test/1.bin,0.346,1.006,3.386,10.302,0.022,0.022
test/1.bin,0.295,0.861,3.113,10.209,0.019,0.020
test/1.bin,0.250,0.755,2.886,9.791,0.016,0.019
test/1.bin,0.209,0.649,2.876,9.930,0.014,0.017
test/1.bin,0.172,0.569,3.098,10.545,0.012,0.015
test/1.bin,0.146,0.501,3.066,10.584,0.010,0.013
test/1.bin,11.072,21.110,4.538,28.494,0.220,0.206
test/1.bin,9.964,19.020,4.710,28.702,0.211,0.186
test/1.bin,8.949,17.070,4.596,29.337,0.208,0.175
test/1.bin,8.061,15.355,4.713,29.745,0.197,0.166
test/1.bin,7.198,13.744,4.603,29.933,0.193,0.153
test/1.bin,6.333,12.338,4.590,30.814,0.189,0.144
test/1.bin,5.609,11.019,4.585,31.349,0.181,0.135
test/1.bin,4.926,9.834,4.381,31.865,0.172,0.124
test/1.bin,4.316,8.742,5.409,33.350,0.163,0.115
test/1.bin,3.767,7.745,4.514,33.540,0.154,0.105
test/1.bin,3.251,6.874,4.608,34.017,0.141,0.098
test/1.bin,2.973,6.052,4.441,34.038,0.123,0.091
test/1.bin,2.514,5.339,4.520,34.872,0.114,0.083
test/1.bin,2.162,4.717,4.877,36.058,0.102,0.078
test/1.bin,1.877,4.165,4.528,35.957,0.089,0.070
test/1.bin,1.612,3.629,5.139,38.986,0.076,0.063
test/1.bin,1.374,3.186,4.893,40.311,0.067,0.057
test/1.bin,1.179,2.789,5.547,41.781,0.057,0.051
test/1.bin,0.995,2.443,5.715,42.502,0.051,0.044
test/1.bin,0.848,2.127,6.270,46.560,0.045,0.041
test/1.bin,0.712,1.870,6.099,46.738,0.040,0.037
test/1.bin,0.614,1.618,6.353,45.513,0.036,0.034
test/1.bin,0.523,1.414,6.441,46.494,0.032,0.032
test/1.bin,0.449,1.240,7.844,46.911,0.028,0.027
test/1.bin,0.397,1.077,6.428,45.459,0.024,0.027
test/1.bin,0.333,0.941,5.721,45.745,0.022,0.023
test/1.bin,0.282,0.817,6.369,46.445,0.019,0.020
test/1.bin,0.246,0.718,6.251,45.382,0.016,0.019
test/1.bin,0.206,0.625,6.141,43.536,0.014,0.017
test/1.bin,0.173,0.552,6.510,43.835,0.012,0.014
test/1.bin,0.144,0.470,6.314,43.602,0.010,0.013
test/1.bin,0.123,0.416,7.114,43.434,0.008,0.012
test/1.bin,0.101,0.357,7.064,45.783,0.007,0.011
test/1.bin,9.146,20.681,5.251,14.753,0.206,0.252
test/1.bin,8.127,18.708,5.254,14.829,0.200,0.237
test/1.bin,7.277,16.882,5.338,15.331,0.195,0.221
test/1.bin,6.484,15.216,5.523,15.373,0.191,0.210
test/1.bin,5.726,13.689,5.660,16.683,0.188,0.197
test/1.bin,5.041,12.336,5.802,16.680,0.181,0.189
test/1.bin,4.422,11.000,5.908,17.557,0.179,0.182
test/1.bin,3.867,9.828,6.006,18.379,0.171,0.173
test/1.bin,3.369,8.710,6.092,18.260,0.162,0.167
test/1.bin,2.940,7.671,6.123,18.697,0.157,0.162
test/1.bin,2.537,6.781,6.154,19.188,0.144,0.153
test/1.bin,2.286,5.914,6.384,19.372,0.131,0.148
test/1.bin,1.949,5.264,6.224,20.385,0.120,0.136
test/1.bin,1.691,4.602,6.477,21.495,0.107,0.125
test/1.bin,1.450,4.036,6.378,21.434,0.095,0.113
test/1.bin,1.253,3.539,6.763,22.789,0.084,0.099
test/1.bin,1.065,3.076,6.649,23.971,0.073,0.089
test/1.bin,0.911,2.677,6.509,24.784,0.063,0.081
test/1.bin,0.776,2.339,6.744,27.513,0.055,0.071
test/1.bin,0.658,2.020,7.772,28.307,0.050,0.064
test/1.bin,0.567,1.761,8.665,33.019,0.044,0.057
test/1.bin,0.481,1.520,8.540,33.858,0.039,0.051
test/1.bin,0.409,1.319,8.867,35.415,0.034,0.046
test/1.bin,0.350,1.149,8.874,33.127,0.030,0.043
test/1.bin,0.304,0.992,8.720,33.788,0.026,0.039
test/1.bin,0.260,0.864,7.797,32.245,0.024,0.035
test/1.bin,0.225,0.742,7.513,30.013,0.021,0.032
test/1.bin,0.193,0.641,7.007,29.346,0.018,0.029
test/1.bin,0.163,0.558,7.678,32.249,0.015,0.025
test/1.bin,0.141,0.482,7.025,32.144,0.014,0.022
test/1.bin,0.118,0.418,7.655,30.605,0.011,0.020
test/1.bin,0.101,0.362,7.258,36.387,0.010,0.018
test/1.bin,0.084,0.306,7.543,33.688,0.009,0.016
test/1.bin,10.749,25.196,4.578,21.850,0.220,0.229
test/1.bin,9.550,22.892,4.560,22.230,0.216,0.209
test/1.bin,8.541,20.728,4.576,22.644,0.211,0.191
test/1.bin,7.606,18.735,4.767,23.293,0.206,0.182
test/1.bin,6.744,16.947,4.696,23.536,0.199,0.167
test/1.bin,5.893,15.278,4.733,24.535,0.196,0.160
test/1.bin,5.181,13.750,4.916,25.290,0.190,0.150
test/1.bin,4.519,12.328,5.024,26.225,0.183,0.141
test/1.bin,3.935,11.002,4.858,26.135,0.173,0.135
test/1.bin,3.421,9.828,4.932,27.202,0.166,0.132
test/1.bin,2.957,8.751,5.074,27.286,0.154,0.121
test/1.bin,2.642,7.719,5.052,27.344,0.139,0.120
test/1.bin,2.264,6.862,5.143,27.912,0.126,0.112
test/1.bin,1.949,6.085,4.985,28.680,0.114,0.105
test/1.bin,1.679,5.367,5.096,29.992,0.100,0.099
test/1.bin,1.436,4.722,5.326,29.624,0.089,0.086
test/1.bin,1.230,4.148,4.929,31.672,0.077,0.079
test/1.bin,1.043,3.634,5.148,32.323,0.068,0.071
test/1.bin,0.887,3.172,5.374,32.272,0.060,0.065
test/1.bin,0.756,2.775,5.502,34.371,0.052,0.059
test/1.bin,0.639,2.410,5.425,35.172,0.048,0.052
test/1.bin,0.547,2.090,5.783,36.345,0.042,0.049
test/1.bin,0.471,1.814,5.781,39.232,0.038,0.042
test/1.bin,0.396,1.585,6.203,39.736,0.032,0.039
test/1.bin,0.339,1.384,6.838,39.974,0.029,0.036
test/1.bin,0.288,1.198,5.847,38.545,0.026,0.032
test/1.bin,0.245,1.041,5.616,38.734,0.022,0.028
test/1.bin,0.206,0.904,5.370,38.505,0.019,0.025
test/1.bin,0.175,0.788,6.033,39.558,0.016,0.023
test/1.bin,0.148,0.685,6.237,38.247,0.013,0.021
test/1.bin,0.127,0.594,5.604,37.416,0.011,0.018
test/1.bin,0.108,0.523,6.972,41.242,0.010,0.016
test/1.bin,0.094,0.450,6.417,40.706,0.008,0.015
test/1.bin,8.433,25.980,3.575,14.931,0.188,0.232
test/1.bin,7.537,23.485,3.608,15.368,0.181,0.202
test/1.bin,6.754,21.146,3.580,15.594,0.181,0.187
test/1.bin,6.005,19.059,3.634,16.029,0.173,0.171
test/1.bin,5.345,17.148,3.653,16.459,0.173,0.161
test/1.bin,4.681,15.429,3.732,16.857,0.170,0.153
test/1.bin,4.153,13.791,4.062,17.317,0.162,0.146
test/1.bin,3.622,12.322,3.772,17.448,0.157,0.141
test/1.bin,3.162,11.006,3.798,17.710,0.150,0.136
test/1.bin,2.768,9.799,3.825,17.936,0.144,0.135
test/1.bin,2.395,8.732,3.813,18.167,0.134,0.130
test/1.bin,2.159,7.722,3.742,18.366,0.121,0.132
test/1.bin,1.848,6.892,3.932,18.673,0.112,0.125
test/1.bin,1.600,6.122,3.845,19.071,0.101,0.119
test/1.bin,1.374,5.420,3.816,19.443,0.088,0.109
test/1.bin,1.206,4.804,3.937,19.927,0.077,0.099
test/1.bin,1.027,4.217,3.876,20.184,0.069,0.091
test/1.bin,0.876,3.714,3.993,20.782,0.058,0.082
test/1.bin,0.755,3.250,4.357,21.638,0.052,0.074
test/1.bin,0.642,2.824,4.683,23.286,0.046,0.066
test/1.bin,0.550,2.460,4.975,25.176,0.040,0.060
test/1.bin,0.473,2.128,4.801,26.604,0.037,0.054
test/1.bin,0.408,1.849,5.331,26.639,0.032,0.048
test/1.bin,0.350,1.601,5.045,27.007,0.028,0.044
test/1.bin,0.301,1.378,5.233,26.097,0.025,0.040
test/1.bin,0.263,1.202,4.989,25.035,0.022,0.035
test/1.bin,0.228,1.041,4.560,23.774,0.019,0.031
test/1.bin,0.191,0.892,4.835,25.900,0.016,0.027
test/1.bin,0.166,0.792,4.773,24.845,0.014,0.025
test/1.bin,0.144,0.680,5.431,26.526,0.012,0.023
test/1.bin,0.124,0.596,5.291,27.318,0.010,0.021
test/1.bin,0.105,0.518,6.000,29.168,0.009,0.019
test/1.bin,0.089,0.452,6.157,29.078,0.007,0.016
test/1.bin,12.747,27.656,3.624,18.631,0.276,0.257
test/1.bin,11.462,24.941,3.780,19.763,0.271,0.226
test/1.bin,10.293,22.422,3.556,19.840,0.264,0.198
test/1.bin,9.260,20.143,3.806,20.608,0.258,0.179
test/1.bin,8.234,18.061,3.770,21.415,0.252,0.166
test/1.bin,7.271,16.154,3.938,22.051,0.249,0.157
test/1.bin,6.430,14.419,3.940,23.119,0.240,0.151
test/1.bin,5.640,12.881,3.987,23.302,0.231,0.145
test/1.bin,4.962,11.461,4.122,24.045,0.221,0.141
test/1.bin,4.360,10.168,4.172,25.034,0.212,0.139
test/1.bin,3.778,9.025,4.076,24.504,0.196,0.131
test/1.bin,3.394,7.969,3.968,25.291,0.176,0.130
test/1.bin,2.883,7.087,4.052,25.817,0.160,0.122
test/1.bin,2.483,6.283,4.170,26.725,0.147,0.119
test/1.bin,2.127,5.566,4.239,27.050,0.126,0.107
test/1.bin,1.827,4.919,4.164,27.631,0.111,0.100
test/1.bin,1.554,4.353,4.342,30.170,0.096,0.091
test/1.bin,1.317,3.798,3.834,29.761,0.083,0.082
test/1.bin,1.104,3.370,4.313,31.913,0.072,0.075
test/1.bin,0.929,2.923,5.158,33.908,0.064,0.067
test/1.bin,0.787,2.548,5.160,35.427,0.056,0.059
test/1.bin,0.656,2.220,5.353,33.897,0.050,0.053
test/1.bin,0.565,1.933,4.464,32.175,0.045,0.048
test/1.bin,0.476,1.670,5.495,37.259,0.039,0.043
test/1.bin,0.399,1.455,4.454,32.169,0.034,0.038
test/1.bin,0.341,1.268,4.729,33.025,0.030,0.035
test/1.bin,0.292,1.096,4.132,31.619,0.027,0.030
test/1.bin,0.248,0.954,4.240,31.741,0.022,0.026
test/1.bin,0.214,0.837,4.202,31.676,0.020,0.024
test/1.bin,0.183,0.719,4.123,31.841,0.016,0.021
test/1.bin,0.154,0.635,5.521,34.625,0.014,0.020
test/1.bin,0.133,0.551,4.477,30.743,0.011,0.017
test/1.bin,0.113,0.479,4.487,28.786,0.009,0.015
test/1.bin,13.306,29.264,3.983,16.197,0.293,0.216
test/1.bin,11.966,26.538,3.951,17.026,0.285,0.187
test/1.bin,10.774,24.019,3.927,16.842,0.280,0.163
test/1.bin,9.671,21.655,3.928,17.276,0.271,0.147
test/1.bin,8.616,19.517,4.187,18.069,0.266,0.132
test/1.bin,7.612,17.584,4.131,18.108,0.258,0.130
test/1.bin,6.758,15.785,3.855,19.216,0.249,0.124
test/1.bin,5.925,14.138,4.372,21.904,0.237,0.120
test/1.bin,5.187,12.653,3.808,21.061,0.229,0.120
test/1.bin,4.557,11.286,3.976,21.330,0.219,0.121
test/1.bin,3.952,10.053,3.719,23.033,0.200,0.114
test/1.bin,3.567,8.919,3.712,22.901,0.179,0.115
test/1.bin,3.040,7.939,3.603,24.290,0.164,0.108
test/1.bin,2.625,7.041,3.676,23.169,0.146,0.105
test/1.bin,2.248,6.247,3.827,24.678,0.128,0.096
test/1.bin,1.947,5.495,3.801,25.063,0.110,0.086
test/1.bin,1.664,4.863,3.886,25.039,0.094,0.079
test/1.bin,1.416,4.245,4.122,25.604,0.083,0.072
test/1.bin,1.197,3.717,4.249,24.366,0.072,0.065
test/1.bin,1.020,3.250,4.517,28.944,0.062,0.057
test/1.bin,0.864,2.835,4.692,26.943,0.056,0.050
test/1.bin,0.736,2.467,5.073,28.285,0.049,0.044
test/1.bin,0.637,2.146,5.420,28.473,0.044,0.040
test/1.bin,0.545,1.863,5.866,26.801,0.038,0.034
test/1.bin,0.463,1.631,5.061,28.287,0.034,0.031
test/1.bin,0.403,1.415,5.033,30.446,0.029,0.027
test/1.bin,0.351,1.244,5.494,28.729,0.025,0.025
test/1.bin,0.297,1.085,5.395,27.801,0.021,0.023
test/1.bin,0.257,0.946,5.817,25.964,0.019,0.021
test/1.bin,0.218,0.819,6.182,28.440,0.016,0.018
test/1.bin,0.186,0.719,6.170,27.735,0.013,0.016
test/1.bin,0.160,0.629,6.150,26.841,0.011,0.015
test/1.bin,0.135,0.541,6.276,26.133,0.009,0.013
test/1.bin,13.688,28.454,3.408,17.625,0.282,0.240
test/1.bin,12.302,25.775,3.736,18.067,0.274,0.214
test/1.bin,11.071,23.316,3.391,18.121,0.269,0.187
test/1.bin,9.930,21.007,3.210,18.554,0.261,0.165
test/1.bin,8.848,18.911,3.324,18.739,0.256,0.149
test/1.bin,7.796,17.008,3.365,19.359,0.248,0.139
test/1.bin,6.901,15.195,3.248,19.530,0.238,0.134
test/1.bin,6.061,13.562,3.222,20.052,0.229,0.126
test/1.bin,5.312,12.055,3.190,20.388,0.219,0.123
test/1.bin,4.686,10.688,3.108,20.387,0.209,0.125
test/1.bin,4.049,9.434,3.219,20.755,0.189,0.122
test/1.bin,3.633,8.299,3.061,20.965,0.170,0.123
test/1.bin,3.110,7.335,3.039,20.787,0.154,0.117
test/1.bin,2.677,6.435,3.398,22.184,0.140,0.115
test/1.bin,2.304,5.667,3.630,22.664,0.121,0.104
test/1.bin,2.003,4.984,3.372,21.578,0.105,0.095
test/1.bin,1.703,4.339,3.717,23.801,0.093,0.088
test/1.bin,1.459,3.764,3.787,23.569,0.080,0.078
test/1.bin,1.232,3.281,3.955,23.548,0.070,0.070
test/1.bin,1.048,2.846,4.197,24.719,0.062,0.063
test/1.bin,0.891,2.455,4.306,25.171,0.054,0.054
test/1.bin,0.757,2.113,4.301,26.633,0.049,0.048
test/1.bin,0.649,1.822,4.383,27.771,0.043,0.044
test/1.bin,0.557,1.580,4.388,27.482,0.038,0.039
test/1.bin,0.482,1.373,4.209,27.573,0.033,0.034
test/1.bin,0.410,1.187,4.707,28.831,0.029,0.031
test/1.bin,0.357,1.032,4.523,26.371,0.025,0.027
test/1.bin,0.301,0.898,4.386,26.470,0.022,0.025
test/1.bin,0.264,0.776,4.138,27.232,0.017,0.022
test/1.bin,0.222,0.679,4.426,26.298,0.014,0.020
test/1.bin,0.186,0.587,4.016,26.693,0.012,0.017
test/1.bin,0.156,0.512,4.134,27.506,0.010,0.016
test/1.bin,0.131,0.439,3.846,29.911,0.008,0.013
test/1.bin,10.267,25.042,5.960,29.208,0.195,0.202
test/1.bin,9.197,22.937,6.036,30.614,0.192,0.192
test/1.bin,8.230,20.976,6.197,31.847,0.185,0.184
test/1.bin,7.336,19.131,6.741,33.057,0.181,0.173
test/1.bin,6.513,17.419,6.950,34.190,0.176,0.166
test/1.bin,5.710,15.883,7.444,35.407,0.173,0.159
test/1.bin,5.053,14.384,7.775,36.614,0.169,0.152
test/1.bin,4.434,13.003,7.919,37.812,0.163,0.147
test/1.bin,3.855,11.748,9.072,40.670,0.154,0.138
test/1.bin,3.386,10.568,7.873,38.871,0.149,0.133
test/1.bin,2.928,9.479,9.055,43.104,0.137,0.125
test/1.bin,2.611,8.449,9.120,42.840,0.122,0.116
test/1.bin,2.236,7.570,9.079,43.995,0.113,0.109
test/1.bin,1.941,6.717,9.448,44.633,0.101,0.102
test/1.bin,1.662,5.988,9.536,46.359,0.090,0.091
test/1.bin,1.449,5.278,9.318,46.970,0.078,0.084
test/1.bin,1.231,4.632,8.623,49.784,0.069,0.076
test/1.bin,1.057,4.051,7.909,51.104,0.060,0.069
test/1.bin,0.903,3.550,10.030,57.221,0.052,0.060
